Variable Name	Variable Description	Data File Name	Data File Description	Begin Year	EndYear
LBXACR	Acrylamide (pmoL/G Hb)	L06AGE_C	Acrylamide & Glycidamide	2003	2004
LBXACR	Acrylamide (pmoL/G Hb)	AMDGYD_D	Acrylamide & Glycidamide	2005	2006
LBXACR	Acrylamide (pmol/g Hb)	AMDGYD_H	Acrylamide & Glycidamide	2013	2014
LBXACR	Acrylamide (pmol/g Hb)	AMDGYD_I	Acrylamide & Glycidamide	2015	2016
LBXGLY	Glycidamide (pmoL/G Hb)	L06AGE_C	Acrylamide & Glycidamide	2003	2004
LBXGLY	Glycidamide (pmoL/G Hb)	AMDGYD_D	Acrylamide & Glycidamide	2005	2006
LBXGLY	Glycideamide (pmol/g Hb)	AMDGYD_H	Acrylamide & Glycidamide	2013	2014
LBXGLY	Glycideamide (pmol/g Hb)	AMDGYD_I	Acrylamide & Glycidamide	2015	2016
WTSA2YR	Subsample A weights	AMDGYD_H	Acrylamide & Glycidamide	2013	2014
WTSA2YR	Subsample A weights	AMDGYD_I	Acrylamide & Glycidamide	2015	2016
LBXACR	Acrylamide (pmol/g Hb)	AMDGDS_H	Acrylamide & Glycidamide - Special Sample	2013	2014
LBXGLY	Glycideamide (pmol/g Hb)	AMDGDS_H	Acrylamide & Glycidamide - Special Sample	2013	2014
WTFSM	Smoking weights	AMDGDS_H	Acrylamide & Glycidamide - Special Sample	2013	2014
SSAFB	Aflatoxin B1-lysine result (ng/mL)	SSAFB_A	Aflatoxin B1-lysine - Serum (Surplus)	1999	2000
WTSPH01	Phthalate Mec Weight Jack Knife Rep 01	SSAFB_A	Aflatoxin B1-lysine - Serum (Surplus)	1999	2000
WTSPH02	Phthalate Mec Weight Jack Knife Rep 02	SSAFB_A	Aflatoxin B1-lysine - Serum (Surplus)	1999	2000
WTSPH03	Phthalate Mec Weight Jack Knife Rep 03	SSAFB_A	Aflatoxin B1-lysine - Serum (Surplus)	1999	2000
WTSPH04	Phthalate Mec Weight Jack Knife Rep 04	SSAFB_A	Aflatoxin B1-lysine - Serum (Surplus)	1999	2000
WTSPH05	Phthalate Mec Weight Jack Knife Rep 05	SSAFB_A	Aflatoxin B1-lysine - Serum (Surplus)	1999	2000
WTSPH06	Phthalate Mec Weight Jack Knife Rep 06	SSAFB_A	Aflatoxin B1-lysine - Serum (Surplus)	1999	2000
WTSPH07	Phthalate Mec Weight Jack Knife Rep 07	SSAFB_A	Aflatoxin B1-lysine - Serum (Surplus)	1999	2000
WTSPH08	Phthalate Mec Weight Jack Knife Rep 08	SSAFB_A	Aflatoxin B1-lysine - Serum (Surplus)	1999	2000
WTSPH09	Phthalate Mec Weight Jack Knife Rep 09	SSAFB_A	Aflatoxin B1-lysine - Serum (Surplus)	1999	2000
WTSPH10	Phthalate Mec Weight Jack Knife Rep 10	SSAFB_A	Aflatoxin B1-lysine - Serum (Surplus)	1999	2000
WTSPH11	Phthalate Mec Weight Jack Knife Rep 11	SSAFB_A	Aflatoxin B1-lysine - Serum (Surplus)	1999	2000
WTSPH12	Phthalate Mec Weight Jack Knife Rep 12	SSAFB_A	Aflatoxin B1-lysine - Serum (Surplus)	1999	2000
WTSPH13	Phthalate Mec Weight Jack Knife Rep 13	SSAFB_A	Aflatoxin B1-lysine - Serum (Surplus)	1999	2000
WTSPH14	Phthalate Mec Weight Jack Knife Rep 14	SSAFB_A	Aflatoxin B1-lysine - Serum (Surplus)	1999	2000
WTSPH15	Phthalate Mec Weight Jack Knife Rep 15	SSAFB_A	Aflatoxin B1-lysine - Serum (Surplus)	1999	2000
WTSPH16	Phthalate Mec Weight Jack Knife Rep 16	SSAFB_A	Aflatoxin B1-lysine - Serum (Surplus)	1999	2000
WTSPH17	Phthalate Mec Weight Jack Knife Rep 17	SSAFB_A	Aflatoxin B1-lysine - Serum (Surplus)	1999	2000
WTSPH18	Phthalate Mec Weight Jack Knife Rep 18	SSAFB_A	Aflatoxin B1-lysine - Serum (Surplus)	1999	2000
WTSPH19	Phthalate Mec Weight Jack Knife Rep 19	SSAFB_A	Aflatoxin B1-lysine - Serum (Surplus)	1999	2000
WTSPH20	Phthalate Mec Weight Jack Knife Rep 20	SSAFB_A	Aflatoxin B1-lysine - Serum (Surplus)	1999	2000
WTSPH21	Phthalate Mec Weight Jack Knife Rep 21	SSAFB_A	Aflatoxin B1-lysine - Serum (Surplus)	1999	2000
WTSPH22	Phthalate Mec Weight Jack Knife Rep 22	SSAFB_A	Aflatoxin B1-lysine - Serum (Surplus)	1999	2000
WTSPH23	Phthalate Mec Weight Jack Knife Rep 23	SSAFB_A	Aflatoxin B1-lysine - Serum (Surplus)	1999	2000
WTSPH24	Phthalate Mec Weight Jack Knife Rep 24	SSAFB_A	Aflatoxin B1-lysine - Serum (Surplus)	1999	2000
WTSPH25	Phthalate Mec Weight Jack Knife Rep 25	SSAFB_A	Aflatoxin B1-lysine - Serum (Surplus)	1999	2000
WTSPH26	Phthalate Mec Weight Jack Knife Rep 26	SSAFB_A	Aflatoxin B1-lysine - Serum (Surplus)	1999	2000
