variable_name	description
LBXACR_L06AGE_C	Acrylamide (pmoL/G Hb);2003-2004
LBXGLY_L06AGE_C	Glycidamide (pmoL/G Hb);2003-2004
LBXACR_AMDGYD_D	Acrylamide (pmoL/G Hb);2005-2006
LBXGLY_AMDGYD_D	Glycidamide (pmoL/G Hb);2005-2006
LBXACR_AMDGYD_H	Acrylamide (pmol/g Hb);2013-2014
LBXGLY_AMDGYD_H	Glycideamide (pmol/g Hb);2013-2014
LBXACR_AMDGYD_I	Acrylamide (pmol/g Hb);2015-2016
LBXGLY_AMDGYD_I	Glycideamide (pmol/g Hb);2015-2016
LBXACR_AMDGDS_H	Acrylamide (pmol/g Hb);2013-2014
LBXGLY_AMDGDS_H	Glycideamide (pmol/g Hb);2013-2014
SSAFB_SSAFB_A	Aflatoxin B1-lysine result (ng/mL);1999-2000
URXUCR_ALB_CR_E	Creatinine, urine (mg/dL);2007-2008
URXUCR_LAB16	Creatinine, urine (mg/dL);1999-2000
URXUCR_ALB_CR_D	Creatinine, urine (mg/dL);2005-2006
URXUCR_L16_C	Creatinine, urine (mg/dL);2003-2004
URXUCR_L16_B	Creatinine, urine (mg/dL);2001-2002
URXUCR_ALB_CR_F	Creatinine, urine (mg/dL);2009-2010
URXUMA2_ALB_CR_F	Second albumin (ug/mL);2009-2010
URDUMA2S_ALB_CR_F	Second albumin, urine (mg/L);2009-2010
URXUCR2_ALB_CR_F	Second creatinine (mg/dL);2009-2010
URDUCR2S_ALB_CR_F	Second creatinine, urine (umol/L);2009-2010
URDACT2_ALB_CR_F	Second albumin creatinine ratio (mg/g);2009-2010
URXUCR_ALB_CR_G	Creatinine, urine (mg/dL);2011-2012
URXUCR_ALB_CR_H	Creatinine, urine (mg/dL);2013-2014
URXUCR_ALB_CR_I	Creatinine, urine (mg/dL);2015-2016
URXUCR_ALB_CR_J	Creatinine, urine (mg/dL);2017-2018
LBXBZAL_ALD_H	Benzaldehyde (ng/mL);2013-2014
LBX4AL_ALD_H	Butyraldehyde (ng/mL);2013-2014
LBXCRAL_ALD_H	Crotonaldehyde (ng/mL);2013-2014
LBX10AL_ALD_H	Decanaldehyde (ng/mL);2013-2014
LBX7AL_ALD_H	Heptanaldehyde (ng/mL);2013-2014
LBX6AL_ALD_H	Hexanaldehyde (ng/mL);2013-2014
LBXI5AL_ALD_H	Isopentanaldehyde (ng/mL);2013-2014
LBX8AL_ALD_H	Octanaldehyde (ng/mL);2013-2014
LBXTLAL_ALD_H	o-Tolualdehyde (ng/mL);2013-2014
LBX5AL_ALD_H	Pentanaldehyde (ng/mL);2013-2014
LBX3AL_ALD_H	Propanaldehyde (ng/mL);2013-2014
LBXBZAL_ALDS_H	Benzaldehyde (ng/mL);2013-2014
LBX4AL_ALDS_H	Butyraldehyde (ng/mL);2013-2014
LBXCRAL_ALDS_H	Crotonaldehyde (ng/mL);2013-2014
LBX10AL_ALDS_H	Decanaldehyde (ng/mL);2013-2014
LBX7AL_ALDS_H	Heptanaldehyde (ng/mL);2013-2014
LBX6AL_ALDS_H	Hexanaldehyde (ng/mL);2013-2014
LBXI5AL_ALDS_H	Isopentanaldehyde (ng/mL);2013-2014
LBX8AL_ALDS_H	Octanaldehyde (ng/mL);2013-2014
LBXTLAL_ALDS_H	o-Tolualdehyde (ng/mL);2013-2014
LBX5AL_ALDS_H	Pentanaldehyde (ng/mL);2013-2014
LBX3AL_ALDS_H	Propanaldehyde (ng/mL);2013-2014
SSINHBIN_SSAMH_A	Inhibin B (pg/ml);1999-2000
SSINHBIN_SSAMH_B	Inhibin B (pg/ml);2001-2002
SSINHBIN_SSAMH_C	Inhibin B (pg/ml);2003-2004
LBDAPBSI_APOB_E	Apolipoprotein (B) (g/L);2007-2008
LBDAPBSI_APOB_F	Apolipoprotein (B) (g/L);2009-2010
LBDAPBSI_APOB_G	Apolipoprotein (B) (g/L);2011-2012
LBDAPBSI_APOB_H	Apolipoprotein (B) (g/L);2013-2014
LBDAPBSI_APOB_I	Apolipoprotein (B) (g/L);2015-2016
URX1NP_AA_H	1-Aminonaphthalene, urine (pg/mL);2013-2014
URX2NP_AA_H	2-Aminonaphthalene, urine (pg/mL);2013-2014
URX4BP_AA_H	4-Aminobiphenyl, urine (pg/mL);2013-2014
URXANS_AA_H	o-Anisidine, urine (pg/mL);2013-2014
URXDMN_AA_H	2,6-Dimethylaniline, urine (pg/mL);2013-2014
URXOTD_AA_H	o-Toluidine, urine (pg/mL);2013-2014
URX1NP_AAS_H	1-Aminonaphthalene, urine (pg/mL);2013-2014
URX2NP_AAS_H	2-Aminonaphthalene, urine (pg/mL);2013-2014
URX4BP_AAS_H	4-Aminobiphenyl, urine (pg/mL);2013-2014
URXANS_AAS_H	o-Anisidine, urine (pg/mL);2013-2014
URXDMN_AAS_H	2,6-Dimethylaniline, urine (pg/mL);2013-2014
URXOTD_AAS_H	o-Toluidine, urine (pg/mL);2013-2014
URX4TDA_UADM_I	2,4-Diaminotoluene (4TDA) (ng/mL);2015-2016
URX6TDA_UADM_I	2,6-Diaminotoluene (6TDA) (ng/mL);2015-2016
URX4MDA_UADM_I	4,4'-Diaminodiphenylmethane (4MDA) (ng/mL);2015-2016
URX5NDA_UADM_I	1,5-Diaminonaphthalene (5NDA) (ng/mL);2015-2016
URXPPDA_UADM_I	p-Phenylenediamine (PPDA) (ng/mL);2015-2016
URXUAS_UTAS_H	Urinary arsenic, total (ug/L);2013-2014
URXUCR_UTAS_H	Urinary creatinine;2013-2014
URXUAS_UTAS_I	Urinary arsenic, total (ug/L);2015-2016
URXUAS_UTASS_H	Urinary arsenic, total (ug/L);2013-2014
URXUCR_UTASS_H	Urinary creatinine;2013-2014
URXUAS_UTASS_I	Urinary arsenic, total (ug/L);2015-2016
URXUCR_UAS_H	Creatinine, urine (mg/dL);2013-2014
URXUAS3_UAS_H	Urinary Arsenous acid (ug/L);2013-2014
URXUAS5_UAS_H	Urinary Arsenic acid (ug/L);2013-2014
URXUAB_UAS_H	Urinary Arsenobetaine (ug/L);2013-2014
URXUAC_UAS_H	Urinary Arsenocholine (ug/L);2013-2014
URXUDMA_UAS_H	Urinary Dimethylarsinic acid (ug/L);2013-2014
URXUMMA_UAS_H	Urinary Monomethylacrsonic acid (ug/L);2013-2014
URXUCR_UASS_H	Urinary creatinine (mg/dL);2013-2014
URXUAS3_UASS_H	Urinary Arsenous acid (ug/L);2013-2014
URXUAS5_UASS_H	Urinary Arsenic acid (ug/L);2013-2014
URXUAB_UASS_H	Urinary Arsenobetaine (ug/L);2013-2014
URXUAC_UASS_H	Urinary Arsenocholine (ug/L);2013-2014
URXUDMA_UASS_H	Urinary Dimethylarsinic acid (ug/L);2013-2014
URXUMMA_UASS_H	Urinary Monomethylacrsonic acid (ug/L);2013-2014
URXUCR_UAS_E	Urinary creatinine (mg/dL);2007-2008
URXUAS_UAS_E	Urinary total arsenic (ug/L);2007-2008
URXUAS3_UAS_E	Urinary Arsenous acid (ug/L);2007-2008
URXUAS5_UAS_E	Urinary Arsenic acid (ug/L);2007-2008
URXUAB_UAS_E	Urinary Arsenobetaine (ug/L);2007-2008
URXUAC_UAS_E	Urinary Arsenocholine (ug/L);2007-2008
URXUDMA_UAS_E	Urinary Dimethylarsonic acid (ug/L);2007-2008
URXUMMA_UAS_E	Urinary Monomethylacrsonic acid (ug/L);2007-2008
URXUCR_UAS_D	Creatinine, urine (mg/dL);2005-2006
URXUAS_UAS_D	Urinary total arsenic (ug/L);2005-2006
URXUAS3_UAS_D	Urinary arsenous acid (ug/L);2005-2006
URXUAS5_UAS_D	Urinary Arsenic acid (ug/L);2005-2006
URXUAB_UAS_D	Urinary Arsenobetaine (ug/L);2005-2006
URXUAC_UAS_D	Urinary Arsenocholine (ug/L);2005-2006
URXUDMA_UAS_D	Urinary Dimethylarsonic acid (ug/L);2005-2006
URXUMMA_UAS_D	Urinary Monomethylacrsonic acid (ug/L);2005-2006
URXUCR_L06UAS_C	Creatinine, urine (mg/dL);2003-2004
URXUAS_L06UAS_C	Urinary total Arsenic (ug/L);2003-2004
URXUAS3_L06UAS_C	Urinary Arsenous acid (ug/L);2003-2004
URXUAS5_L06UAS_C	Urinary Arsenic acid (ug/L);2003-2004
URXUAB_L06UAS_C	Urinary Arsenobetaine (ug/L);2003-2004
URXUAC_L06UAS_C	Urinary Arsenocholine (ug/L);2003-2004
